date,title,sport,description,duration_h,distance_m
2026-11-26,Swim Pré-epoca 1,swim,"400 snorkel + fins 200 snorkel + pull 4x50 (pernas mariposa, braços bruços) 4x50 sculling (25 sculling + 25 normal) 200 pernas+400pull + 200 estilos invertidos + 200 crawl + 200 pernas + 400 pull 200 easy",0.917,2800.0
2026-11-27,30' Run - Zn2,run,Corrida em Zn2 com piso soft Pulso @140,0.5,
2026-11-28,Base Builder (Power),bike,Ride on a flat to gently rolling course. Get at least 50% of ride time in power zone 2. Avoid 3-5 zones. Keep the 2-zone effort steady and continuous. After the ride confirm that you got at least 50% of the ride in zone 2.,1.5,
2026-11-29,DAY OFF,rest,,,
2026-11-29,Mobilidade / Rolo de espuma,mobility,"Rolo de espuma + alongamentos, 20-25'.",0.4,
2026-11-30,Base Builder (Power),bike,Ride on a flat to gently rolling course. Get at least 50% of ride time in power zone 2. Avoid 3-5 zones. Keep the 2-zone effort steady and continuous. After the ride confirm that you got at least 50% of the ride in zone 2.,1.5,
2026-12-01,Treino com a PT,pt,,1.0,
2026-12-02,30' Run - Zn2 + 4 retas,run,"Corrida em Zn2 com piso soft Pulso @140 No final fazer 4 retas progressivas de 20""",0.5,
2026-12-04,30' Run - Zn2 + 4 retas,run,"Corrida em Zn2 com piso soft Pulso @140-150 No final fazer 4 retas progressivas de 20""",0.5,
2026-12-05,Base Builder (Power),bike,Ride on a flat to gently rolling course. Get at least 50% of ride time in power zone 2. Avoid 3-5 zones. Keep the 2-zone effort steady and continuous. After the ride confirm that you got at least 50% of the ride in zone 2.,1.5,
2026-12-06,DAY OFF,rest,,,
2026-12-06,Mobilidade / Rolo de espuma,mobility,"Rolo de espuma + alongamentos, 20-25'.",0.4,
2026-12-07,Base Builder (Heart Rate),bike,Ride on a flat to gently rolling course. Get at least 50% of ride time in heart rate zone 2. Avoid 3-5 zones. Keep the 2-zone effort steady and continuous. After the ride confirm that you got at least 50% of the ride in zone 2.,1.5,
2026-12-07,Running,run,,0.75,
2026-12-08,Treino com a PT,pt,,1.0,
2026-12-09,30' Run - Zn2,run,Corrida em Zn2 com piso soft Pulso @140,0.667,
2026-12-12,Base Builder (Heart Rate),bike,Ride on a flat to gently rolling course. Get at least 50% of ride time in heart rate zone 2. Avoid 3-5 zones. Keep the 2-zone effort steady and continuous. After the ride confirm that you got at least 50% of the ride in zone 2.,1.5,
2026-12-13,DAY OFF,rest,,,
2026-12-13,Mobilidade / Rolo de espuma,mobility,"Rolo de espuma + alongamentos, 20-25'.",0.4,
2026-12-14,30' Run - Zn2,run,Corrida em Zn2 com piso soft Pulso @140,0.5,
2026-12-15,Treino com a PT,pt,,1.0,
2026-12-15,Running,run,,0.75,
2026-12-16,30' Run - Zn2 + 4 retas,run,"Corrida em Zn2 com piso soft Pulso @140-145 No final fazer 4 retas progressivas de 20""",0.5,
2026-12-17,Swim #5,swim,"400L Snorkel + fins 400 snorkel + pull 8x100 Técnica 2x(1. Punho fechado na mão direita; 2.Punho fechado na mão esquerda; 3. Punho fechado nas duas mãos; 4. Normal) 3x200L respiração 3,5,7,9 (muda a cada 50 metros dentro dos 200)descanso 20"" 200 Coldown",0.833,2400.0
2026-12-18,40' Run @Zn2,run,"Corrida em Zn2, piso soft e cadência +88 Pulso @140 5' descontração a andar",0.667,
2026-12-19,Base Builder (Heart Rate),bike,Ride on a flat to gently rolling course. Get at least 50% of ride time in heart rate zone 2. Avoid 3-5 zones. Keep the 2-zone effort steady and continuous. After the ride confirm that you got at least 50% of the ride in zone 2.,1.5,
2026-12-20,Base Builder (Heart Rate),bike,Ride on a flat to gently rolling course. Get at least 50% of ride time in heart rate zone 2. Avoid 3-5 zones. Keep the 2-zone effort steady and continuous. After the ride confirm that you got at least 50% of the ride in zone 2.,1.5,
2026-12-20,Mobilidade / Rolo de espuma,mobility,"Rolo de espuma + alongamentos, 20-25'.",0.4,
2026-12-21,40 com 100metros,run,15' Aquecimento Depois do aquecimento a cada km os primeiros 100 são em sprint e os restantes 900m em zona 2,0.761,
2026-12-23,Minute Monster (Heart Rate),bike,,1.217,
2026-12-23,Running,run,,0.75,
2026-12-24,DAY OFF - Natal,rest,,,
2026-12-25,40' Run @Zn2,run,"Corrida em Zn2, piso soft e cadência +88 Pulso @140 5' descontração a andar",0.667,
2026-12-26,Base Builder (Heart Rate),bike,Ride on a flat to gently rolling course. Get at least 50% of ride time in heart rate zone 2. Avoid 3-5 zones. Keep the 2-zone effort steady and continuous. After the ride confirm that you got at least 50% of the ride in zone 2.,1.5,
2026-12-26,Running,run,,0.75,
2026-12-26,Running,run,,0.75,
2026-12-27,Base Builder (Heart Rate),bike,Ride on a flat to gently rolling course. Get at least 50% of ride time in heart rate zone 2. Avoid 3-5 zones. Keep the 2-zone effort steady and continuous. After the ride confirm that you got at least 50% of the ride in zone 2.,2.0,
2026-12-27,Mobilidade / Rolo de espuma,mobility,"Rolo de espuma + alongamentos, 20-25'.",0.4,
2026-12-28,30' Run - Zn2,run,Corrida em Zn2 com piso soft Pulso @140,0.5,
2026-12-29,Swim Z2,swim,"400 snorkel + fins 200 pull 400 pernas com fins - 200 Catch-up com palas 200 com palas - braço parado à frente (25 braço direito + 25 braço esquerdo) 200 com braço ao longo do corpo e respira para o lado oposto (25 braço direito + 25 braço esquerdo) 6x100 zona 2 - 20"" intervalo 200 easy",0.833,2400.0
2026-12-30,Minute Monster (Heart Rate),bike,,1.217,
2026-12-31,Descanso - Fim de ano,rest,Fecho do plano de 2026. Descanso.,,
